date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:18%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/code-snippets)
16:27:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:18%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/devops)
16:27:19	8333/8333	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:19%20GMT	http://stonecolddev.in/posts/configuration-transformation-with-ctt	stonecolddev.in/posts/configuration-transformation-with-ctt.html	(from http://stonecolddev.in/categories/devops)
16:27:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:19%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/9)
16:27:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:19%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/8)
16:27:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:20%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/7)
16:27:20	8425/8425	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:20%20GMT	http://stonecolddev.in/posts/ascii-star-wars	stonecolddev.in/posts/ascii-star-wars.html	(from http://stonecolddev.in/categories/7)
16:27:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:20%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/programming)
16:27:21	9048/9048	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:21%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-d9e81fcb-3a30-4cfe-9eac-bc7e1b912bc3	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-d9e81fcb-3a30-4cfe-9eac-bc7e1b912bc3.html	(from http://stonecolddev.in/categories/programming)
16:27:21	8903/8903	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:21%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-320af56f-ab40-4321-984e-dd07ebf4c9c3	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-320af56f-ab40-4321-984e-dd07ebf4c9c3.html	(from http://stonecolddev.in/categories/programming)
16:27:21	8974/8974	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:21%20GMT	http://stonecolddev.in/posts/re-replies-are-enabled	stonecolddev.in/posts/re-replies-are-enabled.html	(from http://stonecolddev.in/categories/programming)
16:27:22	8707/8707	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:22%20GMT	http://stonecolddev.in/posts/re-re-replies-are-enabled	stonecolddev.in/posts/re-re-replies-are-enabled.html	(from http://stonecolddev.in/categories/programming)
16:27:22	9095/9095	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:22%20GMT	http://stonecolddev.in/posts/uploads-and-mina	stonecolddev.in/posts/uploads-and-mina.html	(from http://stonecolddev.in/categories/programming)
16:27:22	8688/8688	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:22%20GMT	http://stonecolddev.in/posts/good-news-everyone	stonecolddev.in/posts/good-news-everyone.html	(from http://stonecolddev.in/categories/programming)
16:27:23	8371/8371	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:23%20GMT	http://stonecolddev.in/posts/links-work	stonecolddev.in/posts/links-work.html	(from http://stonecolddev.in/categories/programming)
16:27:23	9481/9481	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:23%20GMT	http://stonecolddev.in/posts/rails-asset-compression	stonecolddev.in/posts/rails-asset-compression.html	(from http://stonecolddev.in/categories/programming)
16:27:23	8437/8437	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:23%20GMT	http://stonecolddev.in/posts/re-re-re-replies-are-enabled	stonecolddev.in/posts/re-re-re-replies-are-enabled.html	(from http://stonecolddev.in/categories/programming)
16:27:23	3919/3919	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:27:23%20GMT	http://stonecolddev.in/categories/quick-and-dirty-how-to-trees-in-sql-postgres-rails-4	stonecolddev.in/categories/quick-and-dirty-how-to-trees-in-sql-postgres-rails-4	(from http://stonecolddev.in/categories/programming)
